Date,has_bse,BSE_Close,Gold_Price,DJI_Close,INR_per_USD,DJI_INR,Gold_INR
1976-06-21,0,0.0,117.73,1007.5,8.97,9037.275000000001,1056.0381000000002
1976-06-29,0,0.0,117.73,1000.7,9.01,9016.307,1060.7473
1976-07-16,0,0.0,109.93,993.2,8.9,8839.480000000001,978.3770000000001
1976-07-20,0,0.0,109.93,988.3,8.9,8795.87,978.3770000000001
1976-07-21,0,0.0,109.93,989.4,8.9,8805.66,978.3770000000001
1976-07-22,0,0.0,109.93,991.1,8.9,8820.79,978.3770000000001
1976-08-06,0,0.0,114.15,986.0,8.97,8844.42,1023.9255000000002
1976-08-11,0,0.0,114.15,986.8,8.97,8851.596,1023.9255000000002
1976-08-16,0,0.0,114.15,992.8,8.97,8905.416000000001,1023.9255000000002
1976-09-01,0,0.0,114.15,986.0,9.01,8883.86,1028.4915
1976-09-02,0,0.0,116.15,984.8,9.01,8873.047999999999,1046.5115
1976-09-16,0,0.0,116.15,988.0,9.13,9020.44,1060.4495000000002
1976-09-16,0,0.0,116.15,988.0,9.13,9020.44,1060.4495000000002
1976-09-20,0,0.0,116.15,994.5,9.13,9079.785000000002,1060.4495000000002
1976-09-28,0,0.0,116.15,994.9,9.17,9123.233,1065.0955000000001
1976-10-05,0,0.0,130.46,966.8,8.85,8556.179999999998,1154.571
1976-10-06,0,0.0,130.46,959.7,8.85,8493.345,1154.571
1976-10-11,0,0.0,130.46,940.8,8.85,8326.08,1154.571
1976-10-27,0,0.0,130.46,956.1,8.93,8537.973,1165.0078
1976-10-28,0,0.0,130.46,952.6,8.93,8506.718,1165.0078
1976-11-03,0,0.0,133.93,956.5,8.97,8579.805,1201.3521
1976-11-04,0,0.0,133.93,960.4,8.97,8614.788,1201.3521
1976-11-11,0,0.0,133.93,931.4,9.05,8429.17,1212.0665000000001
1976-11-16,0,0.0,133.93,935.3,9.01,8427.053,1206.7093
1976-11-18,0,0.0,133.93,950.1,9.01,8560.401,1206.7093
1976-11-25,0,0.0,133.93,956.6,8.93,8542.438,1195.9949
1976-12-01,0,0.0,133.93,949.4,8.93,8478.142,1195.9949
1976-12-06,0,0.0,132.26,961.8,8.81,8473.458,1165.2105999999999
1976-12-06,0,0.0,132.26,961.8,8.81,8473.458,1165.2105999999999
1976-12-12,0,0.0,132.26,974.2,8.77,8543.734,1159.9201999999998
1976-12-29,0,0.0,132.26,994.9,8.97,8924.253,1186.3722
1977-01-01,0,0.0,132.26,999.8,8.93,8928.214,1181.0818
1977-01-06,0,0.0,136.24,979.9,8.93,8750.507,1216.6232
1977-01-12,0,0.0,136.24,968.3,9.01,8724.383,1227.5224
1977-01-18,0,0.0,136.24,962.4,8.89,8555.736,1211.1736
1977-01-18,0,0.0,136.24,962.4,8.89,8555.736,1211.1736
1977-01-18,0,0.0,136.24,962.4,8.89,8555.736,1211.1736
1977-01-25,0,0.0,136.24,965.9,8.85,8548.215,1205.724
1977-02-03,0,0.0,148.23,947.1,8.81,8343.951000000001,1305.9062999999999
1977-02-25,0,0.0,148.23,933.4,8.87,8279.258,1314.8000999999997
1977-03-02,0,0.0,149.17,942.1,8.87,8356.427,1323.1378999999997
1977-03-19,0,0.0,149.17,953.5,8.83,8419.405,1317.1710999999998
1977-03-22,0,0.0,149.17,951.0,8.83,8397.33,1317.1710999999998
1977-03-25,0,0.0,149.17,928.9,8.82,8192.898,1315.6794
1977-03-30,0,0.0,149.17,921.2,8.82,8124.984,1315.6794
1977-04-01,0,0.0,149.17,927.4,8.82,8179.668,1315.6794
1977-04-01,0,0.0,149.17,927.4,8.82,8179.668,1315.6794
1977-04-03,0,0.0,146.61,915.6,8.82,8075.592000000001,1293.1002
1977-04-10,0,0.0,146.61,924.1,8.85,8178.285,1297.4985000000001
1977-04-11,0,0.0,146.61,924.1,8.85,8178.285,1297.4985000000001
1977-04-25,0,0.0,146.61,914.6,8.85,8094.21,1297.4985000000001
1977-04-30,0,0.0,146.61,931.2,8.85,8241.12,1297.4985000000001
1977-05-04,0,0.0,140.78,940.7,8.85,8325.195,1245.903
1977-05-09,0,0.0,140.78,933.1,8.85,8257.935,1245.903
1977-05-12,0,0.0,140.78,925.5,8.85,8190.674999999999,1245.903
1977-05-15,0,0.0,140.78,932.5,8.81,8215.325,1240.2718
1977-05-22,0,0.0,140.78,917.1,8.83,8097.993,1243.0874000000001
1977-06-05,0,0.0,143.39,903.0,8.85,7991.549999999999,1269.0014999999999
1977-06-10,0,0.0,143.39,910.8,8.85,8060.579999999999,1269.0014999999999
1977-06-15,0,0.0,143.39,917.6,8.85,8120.76,1269.0014999999999
1977-06-29,0,0.0,143.39,913.3,8.88,8110.104,1273.3032
1977-07-05,0,0.0,144.94,913.6,8.81,8048.816000000001,1276.9214
1977-07-17,0,0.0,144.94,910.6,8.85,8058.8099999999995,1282.7189999999998
1977-07-20,0,0.0,144.94,920.5,8.85,8146.424999999999,1282.7189999999998
1977-07-27,0,0.0,144.94,888.4,8.81,7826.804,1276.9214
1977-07-27,0,0.0,144.94,888.4,8.81,7826.804,1276.9214
1977-07-30,0,0.0,144.94,891.8,8.73,7785.414,1265.3262
1977-08-07,0,0.0,149.53,879.4,8.72,7668.368,1303.9016000000001
1977-08-17,0,0.0,149.53,864.7,8.72,7540.184000000001,1303.9016000000001
1977-08-20,0,0.0,149.53,867.3,8.71,7554.183,1302.4063
1977-08-22,0,0.0,149.53,867.3,8.71,7554.183,1302.4063
1977-08-23,0,0.0,149.53,865.6,8.71,7539.376000000001,1302.4063
1977-08-26,0,0.0,149.53,855.4,8.73,7467.642,1305.3969000000002
1977-09-06,0,0.0,158.95,873.3,8.73,7623.909,1387.6335
1977-09-11,0,0.0,158.95,854.4,8.73,7458.912,1387.6335
1977-09-17,0,0.0,158.95,851.5,8.73,7433.595,1387.6335
1977-09-29,0,0.0,158.95,840.1,8.73,7334.073,1387.6335
1977-10-03,0,0.0,162.1,852.0,8.73,7437.96,1415.133
